"Theme","Topic","Author","Posted","Link","Views_20231201_005346","Replies_20231201_005346","Views_20231201_020746","Replies_20231201_020746","Views_20231201_023921","Replies_20231201_023921","Views_20231201_031916","Replies_20231201_031916","Views_20231201_042145","Replies_20231201_042145","Views_20231201_051725","Replies_20231201_051725","Views_20231201_062257","Replies_20231201_062257","Views_20231201_071849","Replies_20231201_071849","Views_20231201_082203","Replies_20231201_082203","Views_20231201_091936","Replies_20231201_091936","Views_20231201_102008","Replies_20231201_102008","Views_20231201_111813","Replies_20231201_111813","Views_20231201_122638","Replies_20231201_122638","Views_20231201_132250","Replies_20231201_132250","Views_20231201_141813","Replies_20231201_141813","Views_20231201_151759","Replies_20231201_151759","Views_20231201_162045","Replies_20231201_162045","Views_20231201_171814","Replies_20231201_171814","Views_20231201_182041","Replies_20231201_182041","Views_20231201_191541","Replies_20231201_191541","Views_20231201_201756","Replies_20231201_201756","Views_20231201_211712","Replies_20231201_211712","Views_20231201_221856","Replies_20231201_221856","Views_20231201_231711","Replies_20231201_231711","Views_20231202_004924","Replies_20231202_004924","Views_20231202_015421","Replies_20231202_015421","Views_20231202_022644","Replies_20231202_022644","Views_20231202_031844","Replies_20231202_031844","Views_20231202_041848","Replies_20231202_041848","Views_20231202_051633","Replies_20231202_051633","Views_20231202_062042","Replies_20231202_062042","Views_20231202_071704","Replies_20231202_071704","Views_20231202_081839","Replies_20231202_081839","Views_20231202_091832","Replies_20231202_091832","Views_20231202_101840","Replies_20231202_101840","Views_20231202_111535","Replies_20231202_111535","Views_20231202_122316","Replies_20231202_122316","Views_20231202_131859","Replies_20231202_131859","Views_20231202_141859","Replies_20231202_141859","Views_20231202_151810","Replies_20231202_151810","Views_20231202_161812","Replies_20231202_161812","Views_20231202_171732","Replies_20231202_171732","Views_20231202_181923","Replies_20231202_181923","Views_20231202_191704","Replies_20231202_191704","Views_20231202_201744","Replies_20231202_201744","Views_20231202_211731","Replies_20231202_211731","Views_20231202_221656","Replies_20231202_221656","Views_20231202_231754","Replies_20231202_231754","Views_20231203_005048","Replies_20231203_005048","Views_20231203_020413","Replies_20231203_020413","Views_20231203_023343","Replies_20231203_023343","Views_20231203_031734","Replies_20231203_031734","Views_20231203_041859","Replies_20231203_041859","Views_20231203_051735","Replies_20231203_051735","Views_20231203_061948","Replies_20231203_061948","Views_20231203_071655","Replies_20231203_071655","Views_20231203_082103","Replies_20231203_082103","Views_20231203_091852","Replies_20231203_091852","Views_20231203_101651","Replies_20231203_101651","Views_20231203_111631","Replies_20231203_111631","Views_20231203_122349","Replies_20231203_122349","Views_20231203_131743","Replies_20231203_131743","Views_20231203_141642","Replies_20231203_141642","Views_20231203_151724","Replies_20231203_151724","Views_20231203_161907","Replies_20231203_161907","Views_20231203_171648","Replies_20231203_171648","Views_20231203_181818","Replies_20231203_181818","Views_20231203_191734","Replies_20231203_191734","Views_20231203_201920","Replies_20231203_201920","Views_20231203_211754","Replies_20231203_211754","Views_20231203_221828","Replies_20231203_221828","Views_20231203_231703","Replies_20231203_231703","Views_20231204_005054","Replies_20231204_005054","Views_20231204_020142","Replies_20231204_020142"
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1,4512,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",7491,3,7491,3,7491,3,7491,3,7491,3,7491,3,7491,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7492,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7493,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3,7494,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",4882,0,4882,0,4882,0,4882,0,4882,0,4882,0,4883,0,4883,0,4883,0,4883,0,4883,0,4883,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0,4884,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,718,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1,719,1
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",7045,1,7045,1,7045,1,7045,1,7046,1,7046,1,7046,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7047,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1,7048,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",4719,0,4719,0,4719,0,4719,0,4719,0,4719,0,4719,0,4719,0,4719,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4720,0,4721,0,4721,0,4721,0,4721,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4722,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0,4723,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",4775,2,4775,2,4775,2,4775,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4776,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2,4777,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4900,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1,4901,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0,4491,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",5395,5,5395,5,5395,5,5395,5,5395,5,5395,5,5395,5,5395,5,5395,5,5395,5,5395,5,5395,5,5395,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5396,5,5397,5,5397,5,5397,5,5397,5,5397,5,5397,5,5397,5,5397,5,5397,5,5397,5,5397,5,5397,5
