"Theme","Topic","Author","Posted","Link","Views_20220801_023513","Replies_20220801_023513","Views_20220801_044004","Replies_20220801_044004","Views_20220801_055823","Replies_20220801_055823","Views_20220801_064808","Replies_20220801_064808","Views_20220801_072955","Replies_20220801_072955","Views_20220801_083402","Replies_20220801_083402","Views_20220801_092902","Replies_20220801_092902","Views_20220801_103156","Replies_20220801_103156","Views_20220801_112319","Replies_20220801_112319","Views_20220801_125344","Replies_20220801_125344","Views_20220801_135215","Replies_20220801_135215","Views_20220801_142602","Replies_20220801_142602","Views_20220801_153110","Replies_20220801_153110","Views_20220801_164117","Replies_20220801_164117","Views_20220801_173303","Replies_20220801_173303","Views_20220801_183554","Replies_20220801_183554","Views_20220801_192143","Replies_20220801_192143","Views_20220801_203050","Replies_20220801_203050","Views_20220801_212353","Replies_20220801_212353","Views_20220801_222841","Replies_20220801_222841","Views_20220801_232934","Replies_20220801_232934","Views_20220802_024326","Replies_20220802_024326","Views_20220802_043852","Replies_20220802_043852","Views_20220802_054926","Replies_20220802_054926","Views_20220802_063140","Replies_20220802_063140","Views_20220802_072649","Replies_20220802_072649","Views_20220802_083438","Replies_20220802_083438","Views_20220802_092621","Replies_20220802_092621","Views_20220802_103250","Replies_20220802_103250","Views_20220802_112245","Replies_20220802_112245","Views_20220802_125503","Replies_20220802_125503","Views_20220802_134801","Replies_20220802_134801","Views_20220802_142621","Replies_20220802_142621","Views_20220802_152757","Replies_20220802_152757","Views_20220802_163908","Replies_20220802_163908","Views_20220802_173327","Replies_20220802_173327","Views_20220802_183316","Replies_20220802_183316","Views_20220802_192123","Replies_20220802_192123","Views_20220802_202929","Replies_20220802_202929","Views_20220802_212308","Replies_20220802_212308","Views_20220802_222746","Replies_20220802_222746","Views_20220802_232721","Replies_20220802_232721","Views_20220803_022702","Replies_20220803_022702","Views_20220803_042321","Replies_20220803_042321","Views_20220803_054531","Replies_20220803_054531","Views_20220803_063214","Replies_20220803_063214","Views_20220803_072436","Replies_20220803_072436","Views_20220803_083532","Replies_20220803_083532","Views_20220803_092940","Replies_20220803_092940","Views_20220803_102949","Replies_20220803_102949","Views_20220803_112235","Replies_20220803_112235","Views_20220803_125348","Replies_20220803_125348","Views_20220803_134740","Replies_20220803_134740","Views_20220803_142350","Replies_20220803_142350","Views_20220803_153109","Replies_20220803_153109","Views_20220803_163641","Replies_20220803_163641","Views_20220803_172643","Replies_20220803_172643","Views_20220803_183207","Replies_20220803_183207","Views_20220803_192201","Replies_20220803_192201","Views_20220803_202829","Replies_20220803_202829","Views_20220803_212353","Replies_20220803_212353","Views_20220803_222723","Replies_20220803_222723","Views_20220803_232700","Replies_20220803_232700","Views_20220804_021351","Replies_20220804_021351"
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4830,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4831,1,4832,1,4832,1,4832,1,4833,1,4833,1,4833,1,4834,1,4834,1,4834,1,4834,1,4834,1,4834,1,4834,1,4834,1,4834,1,4834,1,4834,1,4834,1,4835,1,4836,1,4836,1,4836,1,4836,1,4837,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",5986,0,5986,0,5986,0,5986,0,5986,0,5986,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5987,0,5989,0,5989,0,5989,0,5989,0,5989,0,5989,0,5989,0,5989,0,5989,0,5989,0,5989,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",5857,1,5857,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5858,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5859,1,5860,1,5860,1,5861,1,5861,1,5861,1,5861,1,5861,1,5861,1,5861,1,5862,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3616,1,3617,1,3617,1,3617,1,3617,1,3617,1,3617,1,3617,1,3617,1,3618,1,3618,1,3618,1,3619,1,3620,1,3620,1,3620,1,3620,1,3620,1,3620,1,3620,1,3622,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",6345,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6346,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6347,3,6348,3,6348,3,6348,3,6350,3,6350,3,6350,3,6350,3,6350,3,6350,3,6350,3,6350,3,6351,3,6351,3,6351,3,6352,3,6353,3,6353,3,6353,3,6353,3,6353,3,6353,3,6353,3,6354,3,6354,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Anonymous 24","2021-07-20","https://www.en-net.org/question/4358.aspx",3887,0,3887,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3888,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3890,0,3891,0,3891,0,3891,0,3891,0,3891,0,3891,0,3892,0,3892,0,3892,0,3893,0,3894,0,3894,0,3894,0,3894,0,3894,0,3894,0,3894,0,3894,0
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",5906,1,5906,1,5906,1,5906,1,5906,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5907,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5908,1,5909,1,5909,1,5909,1,5909,1,5909,1,5909,1,5909,1,5910,1,5910,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed [ta'shir]","2021-02-01","https://www.en-net.org/question/4190.aspx",3802,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3803,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3804,0,3806,0,3806,0,3806,0,3806,0,3806,0,3806,0,3806,0,3807,0,3807,0,3807,0,3808,0,3809,0,3809,0,3809,0,3809,0,3809,0,3809,0,3809,0,3809,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",3830,2,3830,2,3830,2,3830,2,3830,2,3831,2,3831,2,3831,2,3831,2,3831,2,3832,2,3832,2,3832,2,3832,2,3832,2,3832,2,3832,2,3832,2,3832,2,3832,2,3832,2,3832,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3833,2,3834,2,3834,2,3834,2,3834,2,3834,2,3834,2,3835,2,3835,2,3835,2,3836,2,3836,2,3837,2,3837,2,3839,2,3839,2,3839,2,3839,2,3840,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",3977,1,3977,1,3977,1,3977,1,3977,1,3977,1,3977,1,3978,1,3978,1,3978,1,3978,1,3978,1,3979,1,3979,1,3979,1,3979,1,3979,1,3979,1,3979,1,3979,1,3979,1,3979,1,3979,1,3979,1,3979,1,3979,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3980,1,3981,1,3981,1,3981,1,3981,1,3981,1,3981,1,3981,1,3981,1,3982,1,3982,1,3982,1,3983,1,3983,1,3983,1,3983,1,3983,1,3983,1,3983,1,3984,1,3984,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",3532,0,3532,0,3532,0,3532,0,3532,0,3532,0,3532,0,3532,0,3532,0,3532,0,3532,0,3532,0,3532,0,3532,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3533,0,3534,0,3534,0,3534,0,3534,0,3534,0,3534,0,3534,0,3535,0,3536,0,3536,0,3536,0,3537,0,3537,0,3537,0,3537,0,3538,0,3538,0,3538,0,3538,0,3538,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4427,5,4428,5,4428,5,4428,5,4428,5,4428,5,4429,5,4429,5,4429,5,4429,5,4429,5,4429,5,4429,5,4430,5,4430,5,4430,5,4432,5,4432,5,4432,5,4432,5,4432,5,4432,5,4432,5,4432,5,4433,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",3654,0,3654,0,3654,0,3654,0,3654,0,3654,0,3654,0,3654,0,3654,0,3654,0,3655,0,3655,0,3655,0,3655,0,3655,0,3655,0,3655,0,3655,0,3655,0,3655,0,3655,0,3655,0,3656,0,3657,0,3657,0,3658,0,3658,0,3658,0,3658,0,3658,0,3658,0,3658,0,3658,0,3658,0,3658,0,3658,0,3658,0,3658,0,3658,0,3659,0,3659,0,3659,0,3659,0,3659,0,3660,0,3661,0,3661,0,3661,0,3661,0,3661,0,3661,0,3661,0,3662,0,3663,0,3663,0,3664,0,3665,0,3665,0,3665,0,3666,0,3666,0,3666,0,3666,0,3666,0
"Adolescent nutrition","Webinar question: Given that our school curricular are loaded already, how best can nutrition education be dispensed in schools? What best practice evidence is there?","Stephanie Wrottesley","2021-03-11","https://www.en-net.org/question/4244.aspx",4888,7,4888,7,4888,7,4888,7,4888,7,4888,7,4888,7,4888,7,4888,7,4888,7,4888,7,4888,7,4888,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4889,7,4891,7,4891,7,4891,7,4891,7,4891,7,4891,7,4891,7,4891,7,4892,7,4892,7,4892,7,4892,7,4892,7,4892,7,4892,7,4893,7,4893,7,4893,7,4894,7,4895,7,4895,7,4895,7,4895,7,4895,7,4895,7,4895,7,4895,7
"Adolescent nutrition","Webinar question: How can an ethnographic, participatory approach to adolescent intervention be scaleable?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4253.aspx",3734,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3735,1,3736,1,3736,1,3736,1,3736,1,3737,1,3737,1,3737,1,3737,1,3737,1,3737,1,3738,1,3738,1,3738,1,3739,1,3739,1,3739,1,3739,1,3739,1,3739,1,3739,1,3739,1,3739,1,3739,1,3739,1,3739,1,3739,1,3739,1,3740,1,3741,1,3741,1,3741,1,3741,1,3741,1,3741,1,3742,1,3742,1,3742,1,3743,1,3743,1,3743,1,3743,1,3744,1,3744,1,3744,1,3744,1,3744,1
"Adolescent nutrition","Webinar question: I would be interested to know about any work or insights into eating disorders amongst adolescents in LMICs?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4234.aspx",3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3542,0,3543,0,3543,0,3543,0,3543,0,3543,0,3543,0,3543,0,3544,0,3544,0,3544,0,3545,0,3546,0,3546,0,3546,0,3546,0,3546,0,3546,0,3546,0,3546,0
"Adolescent nutrition","Webinar question: Is there any attempt to use MUAC for adolescent?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4219.aspx",3835,1,3835,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3836,1,3837,1,3838,1,3838,1,3838,1,3838,1,3838,1,3838,1,3838,1,3838,1,3838,1,3838,1,3838,1,3838,1,3838,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3839,1,3840,1,3840,1,3840,1,3842,1,3842,1,3842,1,3842,1,3843,1,3843,1,3843,1,3844,1,3844,1,3844,1,3845,1,3845,1,3845,1,3845,1,3845,1,3845,1
"Adolescent nutrition","Webinar question: Is there information, or any studies, on nutrition status among adolescents living with HIV?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4233.aspx",3564,0,3564,0,3564,0,3564,0,3564,0,3564,0,3564,0,3564,0,3564,0,3564,0,3564,0,3564,0,3564,0,3564,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3565,0,3566,0,3566,0,3566,0,3566,0,3566,0,3566,0,3566,0,3566,0,3567,0,3567,0,3567,0,3568,0,3568,0,3568,0,3568,0,3568,0,3568,0,3568,0,3568,0,3568,0
