"Theme","Topic","Author","Posted","Link","Views_20221001_084632","Replies_20221001_084632","Views_20221002_201631","Replies_20221002_201631","Views_20221003_211338","Replies_20221003_211338","Views_20221003_231544","Replies_20221003_231544","Views_20221004_091952","Replies_20221004_091952","Views_20221009_151543","Replies_20221009_151543","Views_20221018_041533","Replies_20221018_041533","Views_20221029_181606","Replies_20221029_181606","Views_20221029_203857","Replies_20221029_203857","Views_20221029_211158","Replies_20221029_211158","Views_20221030_032605","Replies_20221030_032605","Views_20221030_034925","Replies_20221030_034925","Views_20221030_044132","Replies_20221030_044132","Views_20221030_052139","Replies_20221030_052139","Views_20221030_061555","Replies_20221030_061555","Views_20221030_071138","Replies_20221030_071138","Views_20221030_081507","Replies_20221030_081507","Views_20221030_091235","Replies_20221030_091235","Views_20221030_101326","Replies_20221030_101326","Views_20221030_111056","Replies_20221030_111056","Views_20221030_122257","Replies_20221030_122257","Views_20221030_132952","Replies_20221030_132952","Views_20221030_141131","Replies_20221030_141131","Views_20221030_151317","Replies_20221030_151317","Views_20221030_161550","Replies_20221030_161550","Views_20221030_171553","Replies_20221030_171553","Views_20221030_181604","Replies_20221030_181604","Views_20221030_191037","Replies_20221030_191037","Views_20221030_201332","Replies_20221030_201332"
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",6043,1,6045,1,6047,1,6047,1,6048,1,6058,1,6081,1,6118,1,6118,1,6119,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6120,1,6121,1,6121,1,6121,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",3937,0,3939,0,3939,0,3939,0,3939,0,3950,0,3970,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0,4004,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",3958,2,3962,2,3966,2,3966,2,3968,2,3977,2,4004,2,4032,2,4032,2,4032,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2,4033,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",4102,1,4105,1,4110,1,4110,1,4111,1,4119,1,4147,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4179,1,4180,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",3652,0,3654,0,3654,0,3654,0,3655,0,3666,0,3684,0,3713,0,3713,0,3713,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0,3716,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",4560,5,4563,5,4570,5,4570,5,4570,5,4584,5,4604,5,4632,5,4632,5,4632,5,4632,5,4632,5,4632,5,4632,5,4632,5,4633,5,4633,5,4633,5,4633,5,4633,5,4633,5,4633,5,4633,5,4633,5,4633,5,4634,5,4634,5,4634,5,4634,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",3785,0,3785,0,3789,0,3789,0,3789,0,3800,0,3820,0,3846,0,3847,0,3848,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3853,0,3854,0,3855,0
"Adolescent nutrition","Webinar question: Given that our school curricular are loaded already, how best can nutrition education be dispensed in schools? What best practice evidence is there?","Stephanie Wrottesley","2021-03-11","https://www.en-net.org/question/4244.aspx",5020,7,5025,7,5030,7,5030,7,5030,7,5041,7,5062,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7,5092,7
"Adolescent nutrition","Webinar question: How can an ethnographic, participatory approach to adolescent intervention be scaleable?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4253.aspx",3905,1,3906,1,3908,1,3908,1,3908,1,3919,1,3940,1,3970,1,3970,1,3970,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1,3974,1
"Adolescent nutrition","Webinar question: I would be interested to know about any work or insights into eating disorders amongst adolescents in LMICs?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4234.aspx",3653,0,3653,0,3654,0,3654,0,3654,0,3665,0,3684,0,3712,0,3712,0,3712,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0,3713,0
"Adolescent nutrition","Webinar question: Is there any attempt to use MUAC for adolescent?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4219.aspx",4002,1,4005,1,4009,1,4009,1,4009,1,4025,1,4044,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1,4079,1
"Adolescent nutrition","Webinar question: Is there information, or any studies, on nutrition status among adolescents living with HIV?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4233.aspx",3678,0,3680,0,3680,0,3680,0,3680,0,3691,0,3709,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0,3739,0
"Adolescent nutrition","Webinar question: What major interventions should we focus on to improve adolescent nutrition?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4239.aspx",3991,1,3991,1,3995,1,3995,1,3995,1,4006,1,4024,1,4058,1,4058,1,4058,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4060,1,4061,1
"Adolescent nutrition","Webinar question: What promising practices or evidence-based approaches have been effective in addressing adolescent anaemia?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4229.aspx",3894,1,3897,1,3901,1,3901,1,3902,1,3910,1,3932,1,3961,1,3961,1,3961,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1,3962,1
"Adolescent nutrition","Webinar question: What reference for z-scores should we use for adolescents?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4220.aspx",3958,2,3960,2,3966,2,3966,2,3966,2,3977,2,3995,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2,4023,2
"Adolescent nutrition","Weekly Iron Folate Supplementation for Adolescent (WIFS)","ISAAC WACHIRA","2022-01-19","https://www.en-net.org/question/4471.aspx",3071,8,3073,8,3078,8,3078,8,3078,8,3093,8,3111,8,3149,8,3149,8,3149,8,3149,8,3149,8,3149,8,3149,8,3149,8,3149,8,3149,8,3149,8,3150,8,3150,8,3150,8,3150,8,3150,8,3150,8,3150,8,3150,8,3151,8,3151,8,3151,8
"Announcements & Nutritionists needed","[Médecins du Monde France] REFERENT NUTRITION ET SANTE COMMUNAUTAIRE (H/F) - Haiti","MdM France","2011-03-30","https://www.en-net.org/question/387.aspx",9135,NA,9143,NA,9152,NA,9152,NA,9153,NA,9165,NA,9185,NA,9212,NA,9212,NA,9212,NA,9213,NA,9213,NA,9213,NA,9213,NA,9213,NA,9213,NA,9213,NA,9214,NA,9214,NA,9214,NA,9214,NA,9214,NA,9214,NA,9214,NA,9214,NA,9214,NA,9214,NA,9215,NA,9215,NA
"Announcements & Nutritionists needed","[Médecins du Monde France] REFERENT NUTRITION ET SANTE COMMUNAUTAIRE (H/F) - Haiti","MdM France","2011-03-30","https://www.en-net.org/question/388.aspx",9601,NA,9604,NA,9606,NA,9606,NA,9606,NA,9618,NA,9641,NA,9671,NA,9671,NA,9671,NA,9671,NA,9671,NA,9671,NA,9671,NA,9671,NA,9673,NA,9674,NA,9675,NA,9675,NA,9675,NA,9675,NA,9675,NA,9675,NA,9675,NA,9675,NA,9675,NA,9675,NA,9677,NA,9677,NA
"Announcements & Nutritionists needed","**URGENT: YEMEN NUTRITION ADVISOR - SAVE THE CHILDREN**","Nicki Connell","2014-07-04","https://www.en-net.org/question/1410.aspx",8787,NA,8790,NA,8791,NA,8791,NA,8793,NA,8797,NA,8825,NA,8853,NA,8853,NA,8853,NA,8853,NA,8853,NA,8853,NA,8853,NA,8853,NA,8854,NA,8854,NA,8854,NA,8854,NA,8854,NA,8854,NA,8854,NA,8854,NA,8854,NA,8854,NA,8854,NA,8855,NA,8855,NA,8855,NA
"Announcements & Nutritionists needed","12 Nutrition Program Managers (junior) / 12 Chargés de projet en nutrition (junior)","Raphaël Jarrige","2012-02-24","https://www.en-net.org/question/655.aspx",8849,NA,8853,NA,8854,NA,8854,NA,8854,NA,8865,NA,8883,NA,8912,NA,8912,NA,8912,NA,8912,NA,8912,NA,8912,NA,8912,NA,8912,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA,8913,NA
"Announcements & Nutritionists needed","14-085: Community Mobilisation Advisor","Anonymous 1494","2014-02-05","https://www.en-net.org/question/1264.aspx",9597,NA,9600,NA,9604,NA,9605,NA,9605,NA,9620,NA,9646,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA,9678,NA
"Announcements & Nutritionists needed","15-333: Nutrition Coordinator","Anonymous 1494","2015-05-14","https://www.en-net.org/question/1732.aspx",8927,NA,8929,NA,8932,NA,8932,NA,8933,NA,8946,NA,8963,NA,8997,NA,8997,NA,8997,NA,8998,NA,8998,NA,8999,NA,8999,NA,8999,NA,8999,NA,8999,NA,8999,NA,8999,NA,8999,NA,8999,NA,9000,NA,9000,NA,9000,NA,9000,NA,9000,NA,9000,NA,9000,NA,9000,NA
"Announcements & Nutritionists needed","15-333: Nutrition Coordinator","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1768.aspx",9132,NA,9135,NA,9139,NA,9140,NA,9141,NA,9153,NA,9169,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA,9199,NA
"Announcements & Nutritionists needed","15-333/Nutrition Coordinator","Anonymous 1494","2015-05-07","https://www.en-net.org/question/1716.aspx",8555,NA,8560,NA,8561,NA,8562,NA,8564,NA,8579,NA,8594,NA,8627,NA,8627,NA,8627,NA,8627,NA,8627,NA,8627,NA,8627,NA,8627,NA,8627,NA,8628,NA,8628,NA,8628,NA,8628,NA,8628,NA,8628,NA,8628,NA,8628,NA,8628,NA,8628,NA,8628,NA,8628,NA,8628,NA
"Announcements & Nutritionists needed","15-374: Chief of Party, USAID Afghanistan Initiative for Hygiene, Sanitation, and Nutrition (IHSAN).","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1760.aspx",8631,NA,8631,NA,8636,NA,8636,NA,8636,NA,8648,NA,8661,NA,8694,NA,8694,NA,8694,NA,8696,NA,8696,NA,8696,NA,8696,NA,8696,NA,8696,NA,8697,NA,8697,NA,8697,NA,8697,NA,8697,NA,8698,NA,8698,NA,8698,NA,8698,NA,8698,NA,8698,NA,8698,NA,8698,NA
"Announcements & Nutritionists needed","15-402: Country Director - Afghanistan","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1766.aspx",8446,NA,8455,NA,8456,NA,8456,NA,8458,NA,8469,NA,8487,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA,8516,NA
"Announcements & Nutritionists needed","15-444/Emergency Nutrition Manager","Anonymous 1494","2015-05-07","https://www.en-net.org/question/1717.aspx",8899,NA,8901,NA,8903,NA,8903,NA,8903,NA,8919,NA,8938,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8969,NA,8970,NA,8970,NA,8970,NA,8970,NA,8970,NA,8970,NA,8971,NA,8971,NA
"Announcements & Nutritionists needed","15-451: Community Health and Hygiene Promotion Manager","Anonymous 1494","2015-06-15","https://www.en-net.org/question/1783.aspx",9074,NA,9079,NA,9083,NA,9083,NA,9083,NA,9095,NA,9114,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA,9148,NA
"Announcements & Nutritionists needed","15-465: MONITORING AND EVALUATION DIRECTOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1761.aspx",9078,NA,9080,NA,9086,NA,9087,NA,9087,NA,9099,NA,9123,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA,9156,NA
"Announcements & Nutritionists needed","15-467: SENIOR CAPACITY DEVELOPMENT ADVISOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1762.aspx",8590,NA,8594,NA,8596,NA,8596,NA,8596,NA,8609,NA,8625,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA,8658,NA
"Announcements & Nutritionists needed","15-468: COMMUNITY ENGAGEMENT AND SOCIAL AND BEHAVIOR CHANGE ADVISOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1763.aspx",8771,NA,8773,NA,8778,NA,8778,NA,8778,NA,8793,NA,8812,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8842,NA,8843,NA,8843,NA,8843,NA,8843,NA,8843,NA,8843,NA,8843,NA,8843,NA
"Announcements & Nutritionists needed","15-496: OPERATIONS AND FINANCE DIRECTOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1764.aspx",8754,NA,8758,NA,8759,NA,8759,NA,8760,NA,8774,NA,8792,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8824,NA,8825,NA,8825,NA,8825,NA,8825,NA,8825,NA,8825,NA,8825,NA,8825,NA
"Announcements & Nutritionists needed","15-522: TECHNICAL WASH & NUTRITION DIRECTOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1767.aspx",8952,NA,8955,NA,8959,NA,8959,NA,8959,NA,8971,NA,8989,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9019,NA,9020,NA,9020,NA,9020,NA,9020,NA
"Announcements & Nutritionists needed","15-536: Monitoring, Evaluation, Accountability and Learning (MEAL) Manager","Anonymous 1494","2015-06-04","https://www.en-net.org/question/1775.aspx",9507,NA,9518,NA,9523,NA,9523,NA,9523,NA,9536,NA,9556,NA,9589,NA,9589,NA,9589,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA,9590,NA
"Announcements & Nutritionists needed","15-560: NUTRITION ADVISOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1765.aspx",9024,NA,9026,NA,9030,NA,9030,NA,9032,NA,9045,NA,9068,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA,9099,NA
"Announcements & Nutritionists needed","15-560/NUTRITION ADVISOR","Anonymous 1494","2015-05-27","https://www.en-net.org/question/1751.aspx",8403,NA,8405,NA,8411,NA,8411,NA,8412,NA,8422,NA,8444,NA,8468,NA,8468,NA,8468,NA,8468,NA,8468,NA,8468,NA,8468,NA,8468,NA,8468,NA,8469,NA,8469,NA,8469,NA,8469,NA,8469,NA,8470,NA,8470,NA,8470,NA,8470,NA,8470,NA,8470,NA,8470,NA,8470,NA
"Announcements & Nutritionists needed","15-575: Nutrition Coordinator","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1769.aspx",9415,NA,9421,NA,9425,NA,9426,NA,9426,NA,9444,NA,9461,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA,9489,NA
"Announcements & Nutritionists needed","15-575: Nutrition Coordinator","Anonymous 1494","2015-08-04","https://www.en-net.org/question/1852.aspx",8509,NA,8509,NA,8513,NA,8514,NA,8515,NA,8523,NA,8540,NA,8570,NA,8570,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA,8571,NA
"Announcements & Nutritionists needed","15-581: Country Director","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1759.aspx",8742,NA,8742,NA,8745,NA,8745,NA,8749,NA,8758,NA,8774,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8808,NA,8809,NA,8809,NA,8809,NA,8809,NA,8809,NA,8809,NA,8809,NA,8809,NA
"Announcements & Nutritionists needed","15-648: Food Security and Livelihoods Consultant","Anonymous 1494","2015-08-04","https://www.en-net.org/question/1851.aspx",8510,NA,8514,NA,8515,NA,8515,NA,8515,NA,8524,NA,8548,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA,8580,NA
