"Theme","Extraction Date","Replies","Views","New Replies","New Views","nPosts"
"Food assistance",2022-01-05,67,243285,0,735,33
"Food assistance",2022-01-06,67,243529,0,244,33
"Food assistance",2022-01-07,67,244115,0,586,33
"Infant and young child feeding interventions",2020-12-27,721,903262,0,0,206
"Infant and young child feeding interventions",2020-12-28,721,903714,0,452,206
"Infant and young child feeding interventions",2020-12-29,721,904176,0,462,206
"Infant and young child feeding interventions",2020-12-30,721,905046,0,870,206
"Infant and young child feeding interventions",2020-12-31,721,906132,0,1086,206
"Infant and young child feeding interventions",2022-01-01,827,1145368,106,239236,238
"Infant and young child feeding interventions",2022-01-02,827,1146209,0,841,238
"Infant and young child feeding interventions",2022-01-03,827,1150654,0,4445,238
"Infant and young child feeding interventions",2022-01-04,828,1156602,1,5948,238
"Infant and young child feeding interventions",2022-01-05,830,1161852,2,5250,238
"Infant and young child feeding interventions",2022-01-06,830,1163570,0,1718,238
"Infant and young child feeding interventions",2022-01-07,830,1167648,0,4078,238
"Management of At Risk Mothers and Infants",2020-12-27,66,111141,0,0,27
"Management of At Risk Mothers and Infants",2020-12-28,66,111195,0,54,27
"Management of At Risk Mothers and Infants",2020-12-29,66,111254,0,59,27
"Management of At Risk Mothers and Infants",2020-12-30,66,111370,0,116,27
"Management of At Risk Mothers and Infants",2020-12-31,66,111505,0,135,27
"Management of small and nutritionally at risk infants under six months and their mothers (MAMI)",2022-01-01,85,152256,0,0,43
"Management of small and nutritionally at risk infants under six months and their mothers (MAMI)",2022-01-02,85,152400,0,144,43
"Management of small and nutritionally at risk infants under six months and their mothers (MAMI)",2022-01-03,85,153171,0,771,43
"Management of small and nutritionally at risk infants under six months and their mothers (MAMI)",2022-01-04,85,154210,0,1039,43
"Management of small and nutritionally at risk infants under six months and their mothers (MAMI)",2022-01-05,85,155131,0,921,43
"Management of small and nutritionally at risk infants under six months and their mothers (MAMI)",2022-01-06,85,155452,0,321,43
"Management of small and nutritionally at risk infants under six months and their mothers (MAMI)",2022-01-07,85,156210,0,758,43
"Management of wasting/acute malnutrition",2020-12-27,1850,2540112,0,0,535
"Management of wasting/acute malnutrition",2020-12-28,1850,2541353,0,1241,535
"Management of wasting/acute malnutrition",2020-12-29,1850,2542632,0,1279,535
"Management of wasting/acute malnutrition",2020-12-30,1850,2544925,0,2293,535
"Management of wasting/acute malnutrition",2020-12-31,1850,2547065,0,2140,535
"Management of wasting/acute malnutrition",2022-01-01,1960,3120830,110,573765,566
"Management of wasting/acute malnutrition",2022-01-02,1960,3122723,0,1893,566
"Management of wasting/acute malnutrition",2022-01-03,1960,3132625,0,9902,566
"Management of wasting/acute malnutrition",2022-01-04,1960,3146916,0,14291,566
"Management of wasting/acute malnutrition",2022-01-05,1960,3159311,0,12395,566
"Management of wasting/acute malnutrition",2022-01-06,1960,3162839,0,3528,566
"Management of wasting/acute malnutrition",2022-01-07,1960,3172270,0,9431,566
"Micronutrients",2020-12-27,122,243629,0,0,55
"Micronutrients",2020-12-28,122,243759,0,130,55
"Micronutrients",2020-12-29,122,243886,0,127,55
"Micronutrients",2020-12-30,122,244108,0,222,55
"Micronutrients",2020-12-31,122,244375,0,267,55
"Micronutrients",2022-01-01,123,297975,1,53600,56
"Micronutrients",2022-01-02,123,298140,0,165,56
"Micronutrients",2022-01-03,123,299102,0,962,56
"Micronutrients",2022-01-04,123,300507,0,1405,56
"Micronutrients",2022-01-05,123,301725,0,1218,56
"Micronutrients",2022-01-06,123,302137,0,412,56
"Micronutrients",2022-01-07,123,303090,0,953,56
"Multi-sector nutrition programming",2020-12-27,19,7114,0,0,3
"Multi-sector nutrition programming",2020-12-28,19,7121,0,7,3
"Multi-sector nutrition programming",2020-12-29,19,7127,0,6,3
"Multi-sector nutrition programming",2020-12-30,19,7141,0,14,3
"Multi-sector nutrition programming",2020-12-31,19,7158,0,17,3
"Other thematic area",2020-12-27,90,196119,0,0,52
"Other thematic area",2020-12-28,90,196219,0,100,52
"Other thematic area",2020-12-29,90,196321,0,102,52
"Other thematic area",2020-12-30,90,196521,0,200,52
"Other thematic area",2020-12-31,90,196755,0,234,52
"Other thematic area",2022-01-01,94,248137,4,51382,57
"Other thematic area",2022-01-02,94,248298,0,161,57
"Other thematic area",2022-01-03,94,249275,0,977,57
"Other thematic area",2022-01-04,94,250649,0,1374,57
"Other thematic area",2022-01-05,94,251861,0,1212,57
"Other thematic area",2022-01-06,94,252232,0,371,57
"Other thematic area",2022-01-07,94,253201,0,969,57
"Partnerships for research",2020-12-27,24,52911,0,0,18
"Partnerships for research",2020-12-28,24,52964,0,53,18
"Partnerships for research",2020-12-29,24,53002,0,38,18
"Partnerships for research",2020-12-30,24,53069,0,67,18
"Partnerships for research",2020-12-31,24,53158,0,89,18
"Partnerships for research",2022-01-01,25,69765,1,16607,19
"Partnerships for research",2022-01-02,25,69833,0,68,19
"Partnerships for research",2022-01-03,25,70151,0,318,19
"Partnerships for research",2022-01-04,25,70613,0,462,19
"Partnerships for research",2022-01-05,25,71016,0,403,19
"Partnerships for research",2022-01-06,25,71153,0,137,19
"Partnerships for research",2022-01-07,25,71471,0,318,19
"Prevention and management of stunting",2020-12-27,31,64439,0,0,21
"Prevention and management of stunting",2020-12-28,31,64482,0,43,21
"Prevention and management of stunting",2020-12-29,31,64520,0,38,21
"Prevention and management of stunting",2020-12-30,31,64607,0,87,21
"Prevention and management of stunting",2020-12-31,31,64708,0,101,21
"Prevention and management of stunting",2022-01-01,33,84317,2,19609,21
"Prevention and management of stunting",2022-01-02,33,84400,0,83,21
"Prevention and management of stunting",2022-01-03,33,84753,0,353,21
"Prevention and management of stunting",2022-01-04,33,85264,0,511,21
"Prevention and management of stunting",2022-01-05,33,85711,0,447,21
"Prevention and management of stunting",2022-01-06,33,85859,0,148,21
"Prevention and management of stunting",2022-01-07,33,86211,0,352,21
"Scaling Up Nutrition (SUN)",2020-12-27,112,186593,0,0,51
"Scaling Up Nutrition (SUN)",2020-12-28,112,186702,0,109,51
"Scaling Up Nutrition (SUN)",2020-12-29,112,186804,0,102,51
"Scaling Up Nutrition (SUN)",2020-12-30,112,187013,0,209,51
"Scaling Up Nutrition (SUN)",2020-12-31,112,187257,0,244,51
"Scaling Up Nutrition (SUN)",2022-01-01,132,249344,20,62087,56
"Scaling Up Nutrition (SUN)",2022-01-02,132,249528,0,184,56
"Scaling Up Nutrition (SUN)",2022-01-03,132,250539,0,1011,56
"Scaling Up Nutrition (SUN)",2022-01-04,132,251886,0,1347,56
"Scaling Up Nutrition (SUN)",2022-01-05,132,253103,0,1217,56
"Scaling Up Nutrition (SUN)",2022-01-06,132,253528,0,425,56
"Scaling Up Nutrition (SUN)",2022-01-07,132,254491,0,963,56
"Simplified Approaches for the Management of Acute Malnutrition",2020-12-27,22,9747,0,0,11
"Simplified Approaches for the Management of Acute Malnutrition",2020-12-28,22,9781,0,34,11
"Simplified Approaches for the Management of Acute Malnutrition",2020-12-29,22,9811,0,30,11
"Simplified Approaches for the Management of Acute Malnutrition",2020-12-30,26,9944,4,133,11
"Simplified Approaches for the Management of Acute Malnutrition",2020-12-31,26,9998,0,54,11
"Simplified Approaches for the Management of Acute Malnutrition",2022-01-01,38,25957,12,15959,18
"Simplified Approaches for the Management of Acute Malnutrition",2022-01-02,38,26025,0,68,18
"Simplified Approaches for the Management of Acute Malnutrition",2022-01-03,38,26344,0,319,18
"Simplified Approaches for the Management of Acute Malnutrition",2022-01-04,38,26789,0,445,18
"Simplified Approaches for the Management of Acute Malnutrition",2022-01-05,38,27187,0,398,18
"Simplified Approaches for the Management of Acute Malnutrition",2022-01-06,38,27321,0,134,18
"Simplified Approaches for the Management of Acute Malnutrition",2022-01-07,38,27632,0,311,18
"Upcoming trainings",2020-12-27,190,379488,0,0,92
"Upcoming trainings",2020-12-28,190,379656,0,168,92
"Upcoming trainings",2020-12-29,190,379862,0,206,92
"Upcoming trainings",2020-12-30,190,380205,0,343,92
"Upcoming trainings",2020-12-31,190,380642,0,437,92
"Upcoming trainings",2022-01-01,247,476079,57,95437,103
"Upcoming trainings",2022-01-02,247,476421,0,342,103
"Upcoming trainings",2022-01-03,247,478239,0,1818,103
"Upcoming trainings",2022-01-04,247,480841,0,2602,103
"Upcoming trainings",2022-01-05,247,483103,0,2262,103
"Upcoming trainings",2022-01-06,247,483796,0,693,103
"Upcoming trainings",2022-01-07,247,485524,0,1728,103
