"Theme","Topic","Author","Posted","Link","Views_20231010_004708","Replies_20231010_004708","Views_20231010_015202","Replies_20231010_015202","Views_20231010_022412","Replies_20231010_022412"
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5748,1,5748,1,5748,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",6913,0,6913,0,6913,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6763,1,6763,1,6763,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4399,1,4399,1,4399,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",7344,3,7344,3,7344,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",4768,0,4768,0,4768,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",578,1,579,1,579,1
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",6919,1,6919,1,6919,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",4603,0,4604,0,4604,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",4656,2,4657,2,4657,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",4789,1,4789,1,4789,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",4380,0,4380,0,4380,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",5278,5,5278,5,5278,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",4519,0,4519,0,4519,0
"Adolescent nutrition","Webinar question: Given that our school curricular are loaded already, how best can nutrition education be dispensed in schools? What best practice evidence is there?","Stephanie Wrottesley","2021-03-11","https://www.en-net.org/question/4244.aspx",5778,7,5778,7,5778,7
"Adolescent nutrition","Webinar question: How can an ethnographic, participatory approach to adolescent intervention be scaleable?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4253.aspx",4655,1,4656,1,4656,1
"Adolescent nutrition","Webinar question: I would be interested to know about any work or insights into eating disorders amongst adolescents in LMICs?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4234.aspx",4324,0,4325,0,4325,0
"Adolescent nutrition","Webinar question: Is there any attempt to use MUAC for adolescent?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4219.aspx",4769,1,4769,1,4769,1
"Adolescent nutrition","Webinar question: Is there information, or any studies, on nutrition status among adolescents living with HIV?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4233.aspx",4329,0,4329,0,4329,0
"Adolescent nutrition","Webinar question: What major interventions should we focus on to improve adolescent nutrition?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4239.aspx",4746,1,4747,1,4747,1
"Adolescent nutrition","Webinar question: What promising practices or evidence-based approaches have been effective in addressing adolescent anaemia?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4229.aspx",4583,1,4583,1,4583,1
"Adolescent nutrition","Webinar question: What reference for z-scores should we use for adolescents?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4220.aspx",4645,2,4645,2,4645,2
"Adolescent nutrition","Weekly Iron Folate Supplementation for Adolescent (WIFS)","ISAAC WACHIRA","2022-01-19","https://www.en-net.org/question/4471.aspx",4024,10,4024,10,4024,10
"Announcements & Nutritionists needed","!URGENT! Seeking Delivery Advisor / Consultant (Nigeria) - Scaling Treatment of Acute Malnutrition","Amy Passaro","2023-04-12","https://www.en-net.org/question/4848.aspx",632,NA,632,NA,632,NA
"Announcements & Nutritionists needed","!URGENT! Seeking Delivery Advisor / Consultant (Sudan) - Scaling Treatment of Acute Malnutrition","Amy Passaro","2023-04-12","https://www.en-net.org/question/4849.aspx",484,NA,484,NA,484,NA
"Announcements & Nutritionists needed","!URGENT! Seeking Delivery Advisor / Consultant (Yemen) - Scaling Treatment of Acute Malnutrition","Amy Passaro","2023-04-12","https://www.en-net.org/question/4850.aspx",648,NA,648,NA,648,NA
"Announcements & Nutritionists needed","[Médecins du Monde France] REFERENT NUTRITION ET SANTE COMMUNAUTAIRE (H/F) - Haiti","MdM France","2011-03-30","https://www.en-net.org/question/387.aspx",9796,NA,9797,NA,9797,NA
"Announcements & Nutritionists needed","[Médecins du Monde France] REFERENT NUTRITION ET SANTE COMMUNAUTAIRE (H/F) - Haiti","MdM France","2011-03-30","https://www.en-net.org/question/388.aspx",10239,NA,10239,NA,10239,NA
"Announcements & Nutritionists needed","**URGENT: YEMEN NUTRITION ADVISOR - SAVE THE CHILDREN**","Nicki Connell","2014-07-04","https://www.en-net.org/question/1410.aspx",9408,NA,9408,NA,9408,NA
"Announcements & Nutritionists needed","12 Nutrition Program Managers (junior) / 12 Chargés de projet en nutrition (junior)","Raphaël Jarrige","2012-02-24","https://www.en-net.org/question/655.aspx",9454,NA,9455,NA,9455,NA
"Announcements & Nutritionists needed","14-085: Community Mobilisation Advisor","Anonymous 1494","2014-02-05","https://www.en-net.org/question/1264.aspx",10270,NA,10270,NA,10270,NA
"Announcements & Nutritionists needed","15-333: Nutrition Coordinator","Anonymous 1494","2015-05-14","https://www.en-net.org/question/1732.aspx",9601,NA,9602,NA,9602,NA
"Announcements & Nutritionists needed","15-333: Nutrition Coordinator","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1768.aspx",9838,NA,9838,NA,9838,NA
"Announcements & Nutritionists needed","15-333/Nutrition Coordinator","Anonymous 1494","2015-05-07","https://www.en-net.org/question/1716.aspx",9187,NA,9188,NA,9188,NA
"Announcements & Nutritionists needed","15-374: Chief of Party, USAID Afghanistan Initiative for Hygiene, Sanitation, and Nutrition (IHSAN).","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1760.aspx",9407,NA,9408,NA,9409,NA
"Announcements & Nutritionists needed","15-402: Country Director - Afghanistan","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1766.aspx",9071,NA,9071,NA,9071,NA
"Announcements & Nutritionists needed","15-444/Emergency Nutrition Manager","Anonymous 1494","2015-05-07","https://www.en-net.org/question/1717.aspx",9567,NA,9567,NA,9567,NA
"Announcements & Nutritionists needed","15-451: Community Health and Hygiene Promotion Manager","Anonymous 1494","2015-06-15","https://www.en-net.org/question/1783.aspx",9725,NA,9725,NA,9725,NA
"Announcements & Nutritionists needed","15-465: MONITORING AND EVALUATION DIRECTOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1761.aspx",9712,NA,9712,NA,9712,NA
"Announcements & Nutritionists needed","15-467: SENIOR CAPACITY DEVELOPMENT ADVISOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1762.aspx",9182,NA,9182,NA,9182,NA
"Announcements & Nutritionists needed","15-468: COMMUNITY ENGAGEMENT AND SOCIAL AND BEHAVIOR CHANGE ADVISOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1763.aspx",9362,NA,9362,NA,9362,NA
"Announcements & Nutritionists needed","15-496: OPERATIONS AND FINANCE DIRECTOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1764.aspx",9456,NA,9456,NA,9456,NA
"Announcements & Nutritionists needed","15-522: TECHNICAL WASH & NUTRITION DIRECTOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1767.aspx",9511,NA,9512,NA,9512,NA
"Announcements & Nutritionists needed","15-536: Monitoring, Evaluation, Accountability and Learning (MEAL) Manager","Anonymous 1494","2015-06-04","https://www.en-net.org/question/1775.aspx",10219,NA,10219,NA,10219,NA
"Announcements & Nutritionists needed","15-560: NUTRITION ADVISOR","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1765.aspx",9694,NA,9694,NA,9694,NA
"Announcements & Nutritionists needed","15-560/NUTRITION ADVISOR","Anonymous 1494","2015-05-27","https://www.en-net.org/question/1751.aspx",9028,NA,9028,NA,9028,NA
"Announcements & Nutritionists needed","15-575: Nutrition Coordinator","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1769.aspx",10080,NA,10080,NA,10081,NA
"Announcements & Nutritionists needed","15-575: Nutrition Coordinator","Anonymous 1494","2015-08-04","https://www.en-net.org/question/1852.aspx",9166,NA,9166,NA,9166,NA
"Announcements & Nutritionists needed","15-581: Country Director","Anonymous 1494","2015-06-02","https://www.en-net.org/question/1759.aspx",9368,NA,9368,NA,9368,NA
"Announcements & Nutritionists needed","15-648: Food Security and Livelihoods Consultant","Anonymous 1494","2015-08-04","https://www.en-net.org/question/1851.aspx",9134,NA,9135,NA,9135,NA
"Announcements & Nutritionists needed","15-648: Food Security and Livelihoods Consultant","Anonymous 1494","2015-08-11","https://www.en-net.org/question/1864.aspx",10126,NA,10127,NA,10127,NA
"Announcements & Nutritionists needed","15-750: Nutrition Associate - Mercy Corps","Tamsin","2015-07-21","https://www.en-net.org/question/1834.aspx",10513,NA,10513,NA,10513,NA
"Announcements & Nutritionists needed","15-812: Technical Surge Advisor- SBC","Anonymous 1494","2015-08-13","https://www.en-net.org/question/1869.aspx",9005,NA,9005,NA,9005,NA
"Announcements & Nutritionists needed","15-812: Technical Surge Advisor- SBC","Anonymous 1494","2015-08-13","https://www.en-net.org/question/1874.aspx",9475,NA,9475,NA,9475,NA
"Announcements & Nutritionists needed","15-812: Technical Surge Advisor- SBC","Anonymous 1494","2015-09-25","https://www.en-net.org/question/1934.aspx",9166,NA,9166,NA,9166,NA
"Announcements & Nutritionists needed","15-820: Technical Surge Advisor- CMAM","Anonymous 1494","2015-08-13","https://www.en-net.org/question/1868.aspx",9507,NA,9507,NA,9507,NA
"Announcements & Nutritionists needed","15-820: Technical Surge Advisor- CMAM","Anonymous 1494","2015-08-13","https://www.en-net.org/question/1875.aspx",9600,NA,9600,NA,9600,NA
"Announcements & Nutritionists needed","15-963: Nutrition Program Manager","Anonymous 1494","2015-10-13","https://www.en-net.org/question/2213.aspx",10270,NA,10271,NA,10271,NA
"Announcements & Nutritionists needed","2 consultancy opportunities - home based with travels","Barbara","2020-03-21","https://www.en-net.org/question/3894.aspx",5658,NA,5658,NA,5658,NA
"Announcements & Nutritionists needed","2016 Global Nutrition Report launching next week","Jo Lofthouse","2016-06-08","https://www.en-net.org/question/2511.aspx",9527,NA,9527,NA,9527,NA
"Announcements & Nutritionists needed","22nd February Tufts Webinar: The persistent problem of global acute malnutrition: Why does it persist despite humanitarian and development gains?","Tamsin","2018-02-21","https://www.en-net.org/question/3239.aspx",9262,NA,9262,NA,9262,NA
"Announcements & Nutritionists needed","3 vacancies to support the set up of nutrition information platforms in various countries","Anonymous 2915","2015-04-14","https://www.en-net.org/question/1683.aspx",8881,NA,8881,NA,8881,NA
"Announcements & Nutritionists needed","30th June ENN Webinar: FEX 60/ GAP on child wasting","Tamsin","2020-06-26","https://www.en-net.org/question/4022.aspx",5504,NA,5504,NA,5504,NA
"Announcements & Nutritionists needed","7th Africa Nutritional Epidemiology Conference- Morocco | 9 – 14 October 2016","Ambarka Youssoufane","2016-09-06","https://www.en-net.org/question/2623.aspx",9155,NA,9155,NA,9155,NA
"Announcements & Nutritionists needed","A HEALTH SYSTEM STRENGTHENING SENIOR PROGRAM MANAGER - AFGHANISTAN","Michael ALVES","2014-04-18","https://www.en-net.org/question/1346.aspx",8891,NA,8891,NA,8891,NA
"Announcements & Nutritionists needed","A LINK NCA ANALYST EXPERT - ETHIOPIA","Anonymous 9558","2017-08-09","https://www.en-net.org/question/3022.aspx",8288,NA,8288,NA,8288,NA
"Announcements & Nutritionists needed","A MEDICO-NUTRITION COORDINATOR","Michael ALVES","2011-02-08","https://www.en-net.org/question/341.aspx",9399,NA,9399,NA,9399,NA
"Announcements & Nutritionists needed","A NUTRITION & HEALTH TECHNICAL ADVISOR - Middle East","Anonymous 9558","2017-06-20","https://www.en-net.org/question/2967.aspx",8575,NA,8575,NA,8575,NA
"Announcements & Nutritionists needed","A NUTRITION AND HEALTH COORDINATOR (H/F)","Michael ALVES","2016-02-29","https://www.en-net.org/question/2378.aspx",8870,NA,8870,NA,8870,NA
"Announcements & Nutritionists needed","A NUTRITION AND HEALTH PROGRAM MANAGER","Anonymous 9558","2017-08-09","https://www.en-net.org/question/3020.aspx",8349,NA,8349,NA,8349,NA
"Announcements & Nutritionists needed","A NUTRITION AND MEDICAL PROGRAMS COORDINATOR","Aurore Gibara","2012-02-24","https://www.en-net.org/question/658.aspx",9893,NA,9893,NA,9893,NA
"Announcements & Nutritionists needed","A PSYCHOLOGIST - MENTAL HEALTH CARE PRACTICES TRAINER - KRG","Marie Lecuyer","2014-07-07","https://www.en-net.org/question/1414.aspx",8657,NA,8658,NA,8658,NA
"Announcements & Nutritionists needed","A ROVING SMART SURVEY PROGRAM MANAGER","Anonymous 9558","2017-06-19","https://www.en-net.org/question/2965.aspx",8357,NA,8357,NA,8357,NA
"Announcements & Nutritionists needed","A SENIOR RESEARCH ADVISOR - ACTION CONTRE LA FAIM","Michael ALVES","2015-09-29","https://www.en-net.org/question/1941.aspx",9846,NA,9846,NA,9846,NA
"Announcements & Nutritionists needed","A SMART SURVEY PROGRAM MANAGER - ACF FRANCE MISSIONS","Michael ALVES","2017-03-31","https://www.en-net.org/question/2874.aspx",8264,NA,8264,NA,8265,NA
"Announcements & Nutritionists needed","ACDI/VOCA is seeking a D.C.-based Associate Director, Social & Behavior Change","Tamsin","2015-01-15","https://www.en-net.org/question/1588.aspx",9011,NA,9012,NA,9012,NA
"Announcements & Nutritionists needed","ACF and WFP are seeking an external consultant on “Cash and Nutrition”","Magda HENNEBO","2017-08-02","https://www.en-net.org/question/3012.aspx",8717,NA,8717,NA,8717,NA
"Announcements & Nutritionists needed","ACF DRC is looking for a Head of Nutritional Surveillance Department","Anonymous 41056","2022-06-23","https://www.en-net.org/question/4600.aspx",935,NA,935,NA,935,NA
"Announcements & Nutritionists needed","ACF is lookinf for A NUTRITION AND HEALTH PROGRAM MANAGER in YEMEN","Michael ALVES","2015-06-29","https://www.en-net.org/question/1811.aspx",9199,NA,9199,NA,9199,NA
"Announcements & Nutritionists needed","ACF is looking A CONSULTANT FOR A STUDY ON RUTF","Michael ALVES","2015-09-02","https://www.en-net.org/question/1911.aspx",10186,NA,10186,NA,10186,NA
"Announcements & Nutritionists needed","ACF is looking for a A DEPUTY NUTRITION CLUSTER COORDINATOR in Afghanistan","Marie Lecuyer","2014-07-04","https://www.en-net.org/question/1413.aspx",9211,NA,9211,NA,9211,NA
"Announcements & Nutritionists needed","ACF is looking for a A HEAD OF NUTRITION AND HEALTH DEPARTMENT in Afghanistan","Michael ALVES","2014-04-08","https://www.en-net.org/question/1333.aspx",8704,NA,8704,NA,8704,NA
"Announcements & Nutritionists needed","ACF is looking for a A HEALTH SYSTEM STRENGTHENING EXPERT in Afghanistan","Marie Lecuyer","2014-07-30","https://www.en-net.org/question/1431.aspx",9084,NA,9084,NA,9084,NA
"Announcements & Nutritionists needed","ACF is looking for a A HEALTH SYSTEM STRENGTHENING EXPERT in Afghanistan","Marie Lecuyer","2014-10-21","https://www.en-net.org/question/1508.aspx",9229,NA,9229,NA,9229,NA
"Announcements & Nutritionists needed","ACF is looking for a A HEALTH SYSTEM STRENGTHENING EXPERT in AFGHANISTAN","Marie Lecuyer","2014-12-03","https://www.en-net.org/question/1558.aspx",9153,NA,9153,NA,9153,NA
"Announcements & Nutritionists needed","ACF is looking for a A MENTAL HEALTH AND CARE PRACTICES HEAD OF DEPARTMENT - YEMEN","Marie Lecuyer","2014-05-07","https://www.en-net.org/question/1360.aspx",9300,NA,9300,NA,9300,NA
"Announcements & Nutritionists needed","ACF is looking for a A NUTRITION AND HEALTH COORDINATOR - SOMALIA based in Kenya","Marie Lecuyer","2014-05-15","https://www.en-net.org/question/1368.aspx",9564,NA,9565,NA,9565,NA
"Announcements & Nutritionists needed","ACF is looking for a A NUTRITION AND HEALTH PROGRAM MANAGER – SMART SURVEY in INDIA (Orissa state)","Marie Lecuyer","2014-03-27","https://www.en-net.org/question/1319.aspx",9648,NA,9648,NA,9648,NA
"Announcements & Nutritionists needed","ACF is looking for a A NUTRITION AND HEALTH PROGRAM MANAGER in LIBERIA","Marie Lecuyer","2014-11-19","https://www.en-net.org/question/1544.aspx",9873,NA,9873,NA,9873,NA
"Announcements & Nutritionists needed","ACF is looking for a A NUTRITIONAL CAUSAL ANALYSIS EXPERT - AFGHANISTAN","Marie Lecuyer","2014-06-06","https://www.en-net.org/question/1389.aspx",9242,NA,9242,NA,9242,NA
"Announcements & Nutritionists needed","ACF is looking for a A NUTRITIONAL CAUSAL ANALYSIS EXPERT - YEMEN","Marie Lecuyer","2014-03-12","https://www.en-net.org/question/1298.aspx",9822,NA,9822,NA,9823,NA
"Announcements & Nutritionists needed","ACF is looking for a A PSYCHOLOGIST - MENTAL HEALTH AND CARE PRACTICES EXPERT in Afghanistan","Marie Lecuyer","2014-07-04","https://www.en-net.org/question/1412.aspx",9478,NA,9478,NA,9478,NA
"Announcements & Nutritionists needed","ACF is looking for A FLYING MENTAL HEALTH AND CARE PRACTICES COORDINATOR","Marie Lecuyer","2014-07-02","https://www.en-net.org/question/1408.aspx",9152,NA,9152,NA,9152,NA
"Announcements & Nutritionists needed","ACF is looking for A HEAD OF HUMAN RESOURCES DEPARTMENT in Afghanistan","Marie Lecuyer","2014-03-19","https://www.en-net.org/question/1305.aspx",9038,NA,9038,NA,9039,NA
"Announcements & Nutritionists needed","ACF is looking for A HEAD OF RESEARCH PROJECT - NIAP","Michael ALVES","2014-03-26","https://www.en-net.org/question/1318.aspx",8834,NA,8834,NA,8834,NA
"Announcements & Nutritionists needed","ACF is looking for A HEALTH PROGRAM DEPUTY COORDINATOR in SIERRA LEONE","Marie Lecuyer","2015-03-17","https://www.en-net.org/question/1651.aspx",8843,NA,8843,NA,8843,NA
"Announcements & Nutritionists needed","ACF is looking for A HEALTH SYSTEM STRENGTHENING PROGRAM MANAGER in Afghanistan","Michael ALVES","2014-09-11","https://www.en-net.org/question/1475.aspx",9217,NA,9218,NA,9218,NA
"Announcements & Nutritionists needed","ACF is looking for A HEALTH SYSTEM STRENGTHENING SENIOR PROGRAM MANAGER - AFGHANISTAN","Marie Lecuyer","2014-05-19","https://www.en-net.org/question/1373.aspx",8830,NA,8830,NA,8830,NA
"Announcements & Nutritionists needed","ACF is looking for a Link NCA PROJECT COORDINATOR","Julien Morel","2015-02-22","https://www.en-net.org/question/1629.aspx",9362,NA,9362,NA,9362,NA
"Announcements & Nutritionists needed","ACF is looking for A LOGISTICS, FINANCE AND HUMAN RESOURCES MANAGER in AFGHANISTAN","Marie Lecuyer","2014-05-07","https://www.en-net.org/question/1356.aspx",9528,NA,9528,NA,9528,NA
"Announcements & Nutritionists needed","ACF is looking for A MEDICAL DOCTOR in Myanmar","Marie Lecuyer","2014-12-19","https://www.en-net.org/question/1577.aspx",8539,NA,8539,NA,8539,NA
"Announcements & Nutritionists needed","ACF is looking for a MEDICAL DOCTOR in Myanmar","Marie Lecuyer","2015-01-28","https://www.en-net.org/question/1598.aspx",8178,NA,8178,NA,8178,NA
"Announcements & Nutritionists needed","ACF is looking for a MEDICAL DOCTOR in Myanmar","Marie Lecuyer","2015-02-18","https://www.en-net.org/question/1624.aspx",9063,NA,9063,NA,9063,NA
"Announcements & Nutritionists needed","ACF is looking for a MEDICAL DOCTOR in Myanmar","Michael ALVES","2014-09-11","https://www.en-net.org/question/1474.aspx",9252,NA,9252,NA,9252,NA
"Announcements & Nutritionists needed","ACF is looking for A MENTAL HEALTH AND CARE PRACTICES COORDINATOR in BANGLADESH","Michael ALVES","2014-04-18","https://www.en-net.org/question/1345.aspx",9553,NA,9553,NA,9553,NA
"Announcements & Nutritionists needed","ACF is looking for A MOTHER AND CHILD AND NUTRITION TECHNICAL COORDINATOR in Haiti","Michael ALVES","2015-05-11","https://www.en-net.org/question/1724.aspx",9226,NA,9227,NA,9227,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION & HEALTH COORDINATOR (AFGHANISTAN)","Michael ALVES","2017-05-15","https://www.en-net.org/question/2931.aspx",8549,NA,8549,NA,8549,NA
"Announcements & Nutritionists needed","ACF IS LOOKING FOR A NUTRITION & HEALTH COORDINATOR IN BANGLADESH !!!","Michael ALVES","2016-06-24","https://www.en-net.org/question/2535.aspx",8498,NA,8498,NA,8498,NA
"Announcements & Nutritionists needed","ACF IS LOOKING FOR A NUTRITION & HEALTH COORDINATOR IN YEMEN","Michael ALVES","2017-03-01","https://www.en-net.org/question/2824.aspx",8008,NA,8008,NA,8008,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION & HEALTH TECHNICAL ADVISOR (Yemen, Iraq, Kurdistan, Jordan and Djibouti)","Michael ALVES","2017-04-24","https://www.en-net.org/question/2902.aspx",7857,NA,7857,NA,7857,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH COORDINATOR - FLYING","Marie Lecuyer","2015-03-25","https://www.en-net.org/question/1662.aspx",9615,NA,9615,NA,9615,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH COORDINATOR - LIBERIA","Michael ALVES","2015-05-22","https://www.en-net.org/question/1741.aspx",9643,NA,9643,NA,9643,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH COORDINATOR in Aghanistan","Marie Lecuyer","2014-05-07","https://www.en-net.org/question/1359.aspx",8867,NA,8867,NA,8867,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH COORDINATOR in Ethiopia","Marie Lecuyer","2015-03-17","https://www.en-net.org/question/1650.aspx",9125,NA,9125,NA,9125,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH COORDINATOR in MYANMAR","Michael ALVES","2015-08-31","https://www.en-net.org/question/1904.aspx",9272,NA,9272,NA,9272,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH COORDINATOR in SIERRA LEONE","Marie Lecuyer","2014-12-17","https://www.en-net.org/question/1571.aspx",9288,NA,9288,NA,9288,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH COORDINATOR in YEMEN","Marie Lecuyer","2015-02-11","https://www.en-net.org/question/1619.aspx",8848,NA,8848,NA,8848,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH EXPERT in INDONESIA","Marie Lecuyer","2014-10-06","https://www.en-net.org/question/1496.aspx",9411,NA,9411,NA,9411,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH MONITORING AND EVALUATION PROGRAM MANAGER in AFGHANISTAN","Marie Lecuyer","2014-05-21","https://www.en-net.org/question/1377.aspx",8915,NA,8916,NA,8916,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH MONITORING AND EVALUATION PROGRAM MANAGER in Afghanistan","Marie Lecuyer","2014-07-02","https://www.en-net.org/question/1407.aspx",9087,NA,9087,NA,9087,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH MONITORING AND EVALUATION PROGRAM MANAGER in Afghanistan","Michael ALVES","2014-09-11","https://www.en-net.org/question/1476.aspx",8852,NA,8852,NA,8852,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH PROGRAM MANAGER  in  MYANMAR","Marie Lecuyer","2015-02-16","https://www.en-net.org/question/1621.aspx",8718,NA,8718,NA,8719,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH PROGRAM MANAGER - FLYING","Marie Lecuyer","2015-03-25","https://www.en-net.org/question/1663.aspx",8909,NA,8909,NA,8909,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH PROGRAM MANAGER – SMART SURVEY in India (Burhanpur District (Madhya Pradesh) and Baran District (Rajasthan))","Marie Lecuyer","2014-03-27","https://www.en-net.org/question/1320.aspx",9787,NA,9787,NA,9787,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH PROGRAM MANAGER – SMART SURVEY in MYANMAR","Marie Lecuyer","2014-03-27","https://www.en-net.org/question/1321.aspx",8848,NA,8848,NA,8848,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH PROGRAM MANAGER – SMART SURVEY in YEMEN","Michael ALVES","2014-04-03","https://www.en-net.org/question/1328.aspx",9256,NA,9256,NA,9256,NA
"Announcements & Nutritionists needed","ACF is looking for A NUTRITION AND HEALTH PROGRAM MANAGER in  LIBERIA","Michael ALVES","2015-09-02","https://www.en-net.org/question/1913.aspx",9341,NA,9341,NA,9341,NA
