"Theme","Topic","Author","Posted","Link","Views_20240301_005421","Replies_20240301_005421","Views_20240301_020040","Replies_20240301_020040","Views_20240301_023235","Replies_20240301_023235","Views_20240301_032341","Replies_20240301_032341","Views_20240301_042309","Replies_20240301_042309","Views_20240301_052230","Replies_20240301_052230","Views_20240301_062510","Replies_20240301_062510","Views_20240301_072148","Replies_20240301_072148","Views_20240301_082231","Replies_20240301_082231","Views_20240301_092302","Replies_20240301_092302","Views_20240301_102110","Replies_20240301_102110","Views_20240301_112015","Replies_20240301_112015","Views_20240301_122736","Replies_20240301_122736","Views_20240301_132144","Replies_20240301_132144","Views_20240301_141938","Replies_20240301_141938","Views_20240301_152215","Replies_20240301_152215","Views_20240301_162138","Replies_20240301_162138","Views_20240301_172423","Replies_20240301_172423","Views_20240301_182412","Replies_20240301_182412","Views_20240301_192115","Replies_20240301_192115","Views_20240301_202215","Replies_20240301_202215","Views_20240301_212156","Replies_20240301_212156","Views_20240301_221904","Replies_20240301_221904","Views_20240301_232136","Replies_20240301_232136","Views_20240302_004949","Replies_20240302_004949","Views_20240302_014950","Replies_20240302_014950","Views_20240302_022431","Replies_20240302_022431","Views_20240302_032200","Replies_20240302_032200","Views_20240302_042257","Replies_20240302_042257","Views_20240302_052130","Replies_20240302_052130","Views_20240302_062432","Replies_20240302_062432","Views_20240302_071955","Replies_20240302_071955","Views_20240302_082237","Replies_20240302_082237","Views_20240302_092038","Replies_20240302_092038","Views_20240302_102112","Replies_20240302_102112","Views_20240302_112002","Replies_20240302_112002","Views_20240302_122648","Replies_20240302_122648","Views_20240302_131927","Replies_20240302_131927","Views_20240302_141937","Replies_20240302_141937","Views_20240302_152039","Replies_20240302_152039","Views_20240302_162259","Replies_20240302_162259","Views_20240302_171952","Replies_20240302_171952","Views_20240302_182335","Replies_20240302_182335","Views_20240302_191853","Replies_20240302_191853","Views_20240302_202041","Replies_20240302_202041","Views_20240302_211833","Replies_20240302_211833","Views_20240302_222008","Replies_20240302_222008","Views_20240302_232111","Replies_20240302_232111","Views_20240303_005117","Replies_20240303_005117","Views_20240303_015407","Replies_20240303_015407","Views_20240303_022925","Replies_20240303_022925","Views_20240303_032044","Replies_20240303_032044","Views_20240303_042417","Replies_20240303_042417","Views_20240303_052124","Replies_20240303_052124","Views_20240303_062339","Replies_20240303_062339","Views_20240303_072024","Replies_20240303_072024","Views_20240303_082234","Replies_20240303_082234","Views_20240303_092127","Replies_20240303_092127","Views_20240303_102337","Replies_20240303_102337","Views_20240303_111911","Replies_20240303_111911","Views_20240303_122650","Replies_20240303_122650","Views_20240303_132027","Replies_20240303_132027","Views_20240303_142037","Replies_20240303_142037","Views_20240303_152053","Replies_20240303_152053","Views_20240303_162209","Replies_20240303_162209","Views_20240303_171923","Replies_20240303_171923","Views_20240303_182207","Replies_20240303_182207","Views_20240303_191851","Replies_20240303_191851","Views_20240303_202141","Replies_20240303_202141","Views_20240303_212103","Replies_20240303_212103","Views_20240303_221836","Replies_20240303_221836","Views_20240303_232040","Replies_20240303_232040","Views_20240304_004946","Replies_20240304_004946","Views_20240304_020927","Replies_20240304_020927","Views_20240304_031122","Replies_20240304_031122","Views_20240304_035351","Replies_20240304_035351","Views_20240304_045034","Replies_20240304_045034","Views_20240304_055515","Replies_20240304_055515","Views_20240304_070951","Replies_20240304_070951","Views_20240304_080719","Replies_20240304_080719","Views_20240304_094303","Replies_20240304_094303","Views_20240304_113016","Replies_20240304_113016","Views_20240304_123300","Replies_20240304_123300","Views_20240304_132313","Replies_20240304_132313","Views_20240304_142129","Replies_20240304_142129"
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4475,1,4476,1,4476,1,4477,1,4477,1,4477,1,4477,1,4477,1,4477,1,4478,1,4478,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4479,1,4480,1,4480,1,4480,1,4480,1,4480,1,4480,1,4480,1,4480,1,4480,1,4480,1,4480,1,4480,1,4480,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1,4481,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",6764,1,6764,1,6764,1,6764,1,6764,1,6764,1,6764,1,6764,1,6764,1,6764,1,6764,1,6764,1,6764,1,6764,1,6765,1,6765,1,6767,1,6767,1,6768,1,6768,1,6768,1,6768,1,6768,1,6769,1,6769,1,6769,1,6769,1,6769,1,6769,1,6769,1,6770,1,6770,1,6770,1,6770,1,6770,1,6770,1,6770,1,6770,1,6770,1,6770,1,6770,1,6770,1,6771,1,6771,1,6771,1,6772,1,6772,1,6772,1,6772,1,6772,1,6772,1,6772,1,6772,1,6772,1,6772,1,6772,1,6772,1,6772,1,6772,1,6774,1,6774,1,6774,1,6775,1,6775,1,6775,1,6775,1,6775,1,6775,1,6775,1,6775,1,6775,1,6775,1,6775,1,6776,1,6776,1,6776,1,6776,1,6776,1,6776,1,6776,1,6776,1,6776,1,6776,1,6776,1,6776,1
"Adolescent nutrition","Is dietary diversity score-Women a good score for adolescents?","Anonymous 35931","2023-09-07","https://www.en-net.org/question/4933.aspx",527,1,528,1,528,1,528,1,528,1,528,1,528,1,528,1,528,1,528,1,528,1,528,1,528,1,528,1,528,1,528,1,529,1,529,1,530,1,530,1,530,1,530,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,531,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,532,1,533,1,533,1,533,1,533,1,533,1,533,1,533,1,533,1,533,1,535,1,535,1,535,1,535,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",6068,1,6068,1,6068,1,6068,1,6068,1,6068,1,6069,1,6069,1,6069,1,6069,1,6069,1,6069,1,6069,1,6069,1,6069,1,6069,1,6070,1,6070,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6071,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6072,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6073,1,6074,1,6074,1,6074,1,6074,1,6074,1,6074,1,6074,1,6074,1,6074,1,6074,1,6074,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",7179,0,7179,0,7179,0,7179,0,7180,0,7180,0,7180,0,7180,0,7180,0,7180,0,7180,0,7180,0,7180,0,7180,0,7180,0,7180,0,7181,0,7181,0,7182,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7183,0,7184,0,7184,0,7184,0,7185,0,7185,0,7185,0,7185,0,7185,0,7185,0,7185,0,7185,0,7185,0,7185,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0,7186,0
"Adolescent nutrition","Mobilisation strategy to achieve adolescents targets","Najma ayub","2024-02-05","https://www.en-net.org/question/5008.aspx",249,4,249,4,249,4,249,4,249,4,249,4,249,4,249,4,249,4,249,4,249,4,250,4,250,4,250,4,250,4,250,4,251,4,251,4,252,4,252,4,252,4,252,4,252,4,252,4,252,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,253,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,254,4,256,4,256,4,257,4,257,4
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",7053,1,7054,1,7054,1,7054,1,7054,1,7054,1,7054,1,7055,1,7055,1,7055,1,7055,1,7055,1,7055,1,7055,1,7055,1,7055,1,7056,1,7056,1,7057,1,7057,1,7057,1,7057,1,7057,1,7057,1,7057,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7059,1,7060,1,7060,1,7060,1,7060,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7061,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7062,1,7063,1,7063,1,7063,1,7063,1,7063,1,7063,1,7063,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4639,1,4639,1,4639,1,4639,1,4640,1,4640,1,4640,1,4640,1,4640,1,4640,1,4640,1,4640,1,4641,1,4641,1,4641,1,4641,1,4642,1,4642,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4643,1,4644,1,4644,1,4644,1,4644,1,4644,1,4644,1,4645,1,4645,1,4645,1,4645,1,4645,1,4645,1,4645,1,4645,1,4645,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1,4646,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",7678,3,7678,3,7678,3,7678,3,7678,3,7678,3,7678,3,7678,3,7679,3,7679,3,7679,3,7679,3,7679,3,7679,3,7679,3,7679,3,7680,3,7680,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7681,3,7682,3,7682,3,7682,3,7682,3,7683,3,7683,3,7683,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7684,3,7686,3,7686,3,7686,3,7686,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",5015,0,5015,0,5015,0,5015,0,5015,0,5015,0,5015,0,5016,0,5016,0,5016,0,5016,0,5016,0,5016,0,5016,0,5016,0,5016,0,5018,0,5018,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5020,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0,5021,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",935,1,935,1,935,1,935,1,935,1,935,1,935,1,935,1,935,1,936,1,936,1,936,1,936,1,936,1,936,1,936,1,937,1,938,1,939,1,939,1,939,1,939,1,940,1,940,1,940,1,940,1,941,1,941,1,941,1,941,1,941,1,941,1,941,1,942,1,942,1,942,1,942,1,942,1,942,1,942,1,942,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,944,1,945,1,945,1,945,1,945,1,945,1,945,1,945,1,945,1,946,1,946,1,946,1,946,1,946,1,946,1,946,1,946,1,947,1,947,1,947,1,947,1,947,1,947,1,947,1,947,1,948,1,948,1,948,1,948,1
